Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai i20            ,ASTA 1.4 CRDI                      ,1.5L km    ,Diesel    ,Manual       ,"22,390/m*" ,2.52L          ,None   ,              1.5  ,              ,2012 ,    22390.0
Hyundai i20            ,MAGNA (O) 1.2                      ,61.11k km  ,Petrol    ,Manual       ,"14,571/m*" ,1.64L          ,None   ,             61.11 ,              ,2011 ,    14571.0
Hyundai i10            ,SPORTZ 1.2 AT                      ,74.28k km  ,Petrol    ,Auto         ,"6,444/m*"  ,1.94L          ,None   ,             74.28 ,              ,2013 ,     6444.0
Hyundai i20            ,MAGNA (O) 1.2                      ,23.52k km  ,Petrol    ,Manual       ,1.33 lakh   ,1.33L          ,None   ,             23.52 ,              ,2010 ,        1.0
Hyundai i20            ,MAGNA (O) 1.2                      ,31.72k km  ,Petrol    ,Manual       ,"7,110/m*"  ,2.70L          ,None   ,             31.72 ,              ,2014 ,     7110.0
Hyundai i20            ,SPORTZ 1.2                         ,48.84k km  ,Petrol    ,Manual       ,1.28 lakh   ,1.28L          ,None   ,             48.84 ,              ,2010 ,        1.0
Hyundai Accent         ,GLE                                ,96.08k km  ,Petrol    ,Manual       ,"10,751/m*" ,1.21L          ,None   ,             96.08 ,              ,2011 ,    10751.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,42.15k km  ,Petrol    ,Manual       ,"7,296/m*"  ,3.28L          ,None   ,             42.15 ,              ,2015 ,     7296.0
Hyundai i20            ,SPORTZ 1.2                         ,82.00k km  ,Petrol    ,Manual       ,1.40 lakh   ,1.40L          ,None   ,             82.0  ,              ,2010 ,        1.0
Hyundai Elite i20      ,ASTA 1.2                           ,75.83k km  ,Petrol    ,Manual       ,"8,297/m*"  ,3.73L          ,None   ,             75.83 ,              ,2015 ,     8297.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,58.10k km  ,Petrol    ,Manual       ,"12,380/m*" ,2.63L          ,None   ,             58.1  ,              ,2012 ,    12380.0
Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,1.2L km    ,Petrol    ,Manual       ,"7,096/m*"  ,3.19L          ,None   ,              1.2  ,              ,2018 ,     7096.0
Hyundai i10            ,MAGNA 1.1                          ,62.66k km  ,Petrol    ,Manual       ,"6,073/m*"  ,2.73L          ,None   ,             62.66 ,              ,2015 ,     6073.0
Hyundai i10            ,SPORTZ 1.2 AT                      ,65.21k km  ,Petrol    ,Auto         ,"9,179/m*"  ,1.95L          ,None   ,             65.21 ,              ,2012 ,     9179.0
Hyundai i10            ,SPORTZ 1.2                         ,46.50k km  ,Petrol    ,Manual       ,"14,394/m*" ,1.62L          ,None   ,             46.5  ,              ,2011 ,    14394.0
Hyundai Eon            ,MAGNA +                            ,35.12k km  ,Petrol    ,Manual       ,"4,371/m*"  ,1.66L          ,None   ,             35.12 ,              ,2014 ,     4371.0
Hyundai i20            ,SPORTZ 1.2                         ,1.1L km    ,Petrol    ,Manual       ,"7,905/m*"  ,2.38L          ,None   ,              1.1  ,              ,2013 ,     7905.0
Hyundai i10            ,SPORTZ 1.2                         ,71.01k km  ,Petrol    ,Manual       ,1.21 lakh   ,1.21L          ,None   ,             71.01 ,              ,2010 ,        1.0
Hyundai Verna          ,TRANSFORM 1.6 VTVT                 ,57.46k km  ,Petrol    ,Manual       ,2.27 lakh   ,2.27L          ,None   ,             57.46 ,              ,2010 ,        2.0
Hyundai Xcent          ,S (O) 1.2                          ,1.0L km    ,Petrol    ,Manual       ,"6,117/m*"  ,2.85L          ,2.75L  ,              1.0  ,         2.75 ,2015 ,     6117.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,98.09k km  ,Petrol    ,Manual       ,"7,505/m*"  ,2.95L          ,2.85L  ,             98.09 ,         2.85 ,2014 ,     7505.0
Hyundai Grand i10      ,ASTA (O) 1.2 KAPPA VTVT            ,88.91k km  ,Petrol    ,Manual       ,"7,274/m*"  ,2.19L          ,None   ,             88.91 ,              ,2013 ,     7274.0
Hyundai i20            ,ASTA 1.2                           ,1.0L km    ,Petrol    ,Manual       ,"15,904/m*" ,1.79L          ,None   ,              1.0  ,              ,2011 ,    15904.0
Hyundai VENUE          ,SX 1.0 TURBO IMT DUAL TONE SPORT   ,52.12k km  ,Petrol    ,Manual       ,"12,219/m*" ,6.40L          ,6.25L  ,             52.12 ,         6.25 ,2021 ,    12219.0
Hyundai i10            ,MAGNA 1.2                          ,41.29k km  ,Petrol    ,Manual       ,"6,449/m*"  ,1.37L          ,None   ,             41.29 ,              ,2012 ,     6449.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT              ,45.37k km  ,Petrol    ,Manual       ,"8,622/m*"  ,4.41L          ,None   ,             45.37 ,              ,2019 ,     8622.0
Hyundai i20            ,MAGNA (O) 1.2                      ,1.1L km    ,Petrol    ,Manual       ,"11,550/m*" ,1.30L          ,None   ,              1.1  ,              ,2011 ,    11550.0
Hyundai i10            ,MAGNA 1.2                          ,29.62k km  ,Petrol    ,Manual       ,"6,025/m*"  ,1.28L          ,None   ,             29.62 ,              ,2012 ,     6025.0
Hyundai Verna          ,1.6 VTVT SX O                      ,47.86k km  ,Petrol    ,Manual       ,"11,632/m*" ,5.95L          ,None   ,             47.86 ,              ,2018 ,    11632.0
Hyundai i20            ,MAGNA 1.2                          ,50.25k km  ,Petrol    ,Manual       ,"13,860/m*" ,1.56L          ,None   ,             50.25 ,              ,2011 ,    13860.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,1.1L km    ,Petrol    ,Manual       ,"8,868/m*"  ,2.67L          ,None   ,              1.1  ,              ,2013 ,     8868.0
Hyundai i10            ,SPORTZ 1.2                         ,1.6L km    ,Petrol    ,Manual       ,"7,861/m*"  ,1.67L          ,None   ,              1.6  ,              ,2012 ,     7861.0
Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,1.0L km    ,Petrol    ,Manual       ,"7,630/m*"  ,3.43L          ,None   ,              1.0  ,              ,2018 ,     7630.0
Hyundai i10            ,MAGNA 1.1                          ,23.00k km  ,Petrol    ,Manual       ,0.98 lakh   ,0.98L          ,None   ,             23.0  ,              ,2010 ,        0.0
Hyundai i20            ,SPORTZ 1.4 CRDI                    ,76.15k km  ,Diesel    ,Manual       ,1.65 lakh   ,1.65L          ,None   ,             76.15 ,              ,2011 ,        1.0
Hyundai Xcent          ,SX 1.2 (O)                         ,81.88k km  ,Petrol    ,Manual       ,"7,294/m*"  ,2.77L          ,None   ,             81.88 ,              ,2014 ,     7294.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,83.14k km  ,Petrol    ,Manual       ,"11,730/m*" ,6.00L          ,None   ,             83.14 ,              ,2016 ,    11730.0
Hyundai i10            ,MAGNA 1.2                          ,99.85k km  ,Petrol    ,Manual       ,0.92 lakh   ,0.92L          ,None   ,             99.85 ,              ,2010 ,        0.0
Hyundai i20            ,ASTA 1.2                           ,98.05k km  ,Petrol    ,Manual       ,1.27 lakh   ,1.27L          ,None   ,             98.05 ,              ,2010 ,        1.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT                   ,51.83k km  ,Petrol    ,Manual       ,"19,102/m*" ,2.15L          ,None   ,             51.83 ,              ,2011 ,    19102.0
Hyundai i20            ,MAGNA (O) 1.2                      ,30.32k km  ,Petrol    ,Manual       ,"13,772/m*" ,1.55L          ,None   ,             30.32 ,              ,2011 ,    13772.0
Hyundai i10            ,SPORTZ 1.2                         ,4.12k km   ,Petrol    ,Manual       ,1.08 lakh   ,1.08L          ,None   ,              4.12 ,              ,2010 ,        1.0
Hyundai i10            ,MAGNA 1.2                          ,56.98k km  ,Petrol    ,Manual       ,"7,049/m*"  ,1.50L          ,None   ,             56.98 ,              ,2012 ,     7049.0
Hyundai Grand i10      ,SPORTZ (O) AT 1.2 KAPPA VTVT       ,1.6L km    ,Petrol    ,Auto         ,"6,673/m*"  ,3.49L          ,3.00L  ,              1.6  ,         3.0  ,2017 ,     6673.0
Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,90.96k km  ,Diesel    ,Auto         ,"19,894/m*" ,9.15L          ,None   ,             90.96 ,              ,2016 ,    19894.0
Hyundai Verna          ,FLUIDIC 1.6 CRDI SX                ,1.4L km    ,Diesel    ,Manual       ,2.31 lakh   ,2.31L          ,None   ,              1.4  ,              ,2011 ,        2.0
Hyundai Xcent          ,S 1.2                              ,1.2L km    ,Petrol    ,Manual       ,"8,348/m*"  ,3.17L          ,None   ,              1.2  ,              ,2014 ,     8348.0
Hyundai Grand i10      ,ASTA AT 1.2 KAPPA VTVT             ,65.00k km  ,Petrol    ,Auto         ,"7,979/m*"  ,3.03L          ,None   ,             65.0  ,              ,2014 ,     7979.0
Hyundai Xcent          ,S 1.2                              ,48.20k km  ,Petrol    ,Manual       ,"6,823/m*"  ,3.49L          ,None   ,             48.2  ,              ,2016 ,     6823.0
Hyundai i10            ,ERA 1.1                            ,66.96k km  ,Petrol    ,Manual       ,"10,129/m*" ,1.14L          ,None   ,             66.96 ,              ,2011 ,    10129.0
Hyundai i20            ,SPORTZ 1.2                         ,68.70k km  ,Petrol    ,Manual       ,"6,768/m*"  ,2.57L          ,None   ,             68.7  ,              ,2014 ,     6768.0
Hyundai i10            ,SPORTZ 1.1                         ,76.53k km  ,Petrol    ,Manual       ,"4,164/m*"  ,2.13L          ,None   ,             76.53 ,              ,2016 ,     4164.0
Hyundai i20            ,SPORTZ 1.4 CRDI                    ,95.38k km  ,Diesel    ,Manual       ,2.00 lakh   ,2.00L          ,None   ,             95.38 ,              ,2010 ,        2.0
Hyundai Eon            ,ERA +                              ,29.20k km  ,Petrol    ,Manual       ,"5,082/m*"  ,1.93L          ,None   ,             29.2  ,              ,2014 ,     5082.0
Hyundai Santro Xing    ,GL PLUS (CNG)                      ,86.86k km  ,Petrol    ,Manual       ,"5,790/m*"  ,1.23L          ,None   ,             86.86 ,              ,2012 ,     5790.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,29.12k km  ,Petrol    ,Manual       ,"8,954/m*"  ,3.40L          ,None   ,             29.12 ,              ,2014 ,     8954.0
Hyundai i20            ,ASTA 1.2                           ,51.01k km  ,Petrol    ,Manual       ,"9,732/m*"  ,2.93L          ,None   ,             51.01 ,              ,2013 ,     9732.0
Hyundai i10            ,SPORTZ 1.2 AT                      ,70.83k km  ,Petrol    ,Auto         ,"11,461/m*" ,1.29L          ,None   ,             70.83 ,              ,2011 ,    11461.0
Hyundai i10            ,ASTA 1.2 AT SUNROOF                ,63.02k km  ,Petrol    ,Auto         ,1.67 lakh   ,1.67L          ,None   ,             63.02 ,              ,2010 ,        1.0
Hyundai Verna          ,1.6 CRDI SX + AT                   ,88.64k km  ,Diesel    ,Auto         ,"15,073/m*" ,7.71L          ,None   ,             88.64 ,              ,2018 ,    15073.0
Hyundai i20            ,ASTA 1.4 AT                        ,40.43k km  ,Petrol    ,Auto         ,"12,663/m*" ,2.69L          ,None   ,             40.43 ,              ,2012 ,    12663.0
Hyundai i20            ,ASTA 1.2                           ,1.0L km    ,Petrol    ,Manual       ,0.92 lakh   ,0.92L          ,None   ,              1.0  ,              ,2010 ,        0.0
Hyundai Eon            ,ERA +                              ,17.37k km  ,Petrol    ,Manual       ,"5,767/m*"  ,2.19L          ,None   ,             17.37 ,              ,2014 ,     5767.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,90.69k km  ,Petrol    ,Manual       ,"11,226/m*" ,3.38L          ,None   ,             90.69 ,              ,2013 ,    11226.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,44.50k km  ,Petrol    ,Manual       ,"12,747/m*" ,6.52L          ,None   ,             44.5  ,              ,2016 ,    12747.0
Hyundai i10            ,SPORTZ 1.2                         ,78.72k km  ,Petrol    ,Manual       ,1.18 lakh   ,1.18L          ,None   ,             78.72 ,              ,2010 ,        1.0
Hyundai Xcent          ,SX 1.2 (O)                         ,71.07k km  ,Petrol    ,Manual       ,"8,052/m*"  ,3.62L          ,None   ,             71.07 ,              ,2015 ,     8052.0
Hyundai New Elantra    ,1.8 SX MT VTVT                     ,40.59k km  ,Petrol    ,Manual       ,"11,193/m*" ,3.37L          ,None   ,             40.59 ,              ,2013 ,    11193.0
Hyundai Grand i10      ,ASTA (O) 1.2 KAPPA VTVT            ,79.75k km  ,Petrol    ,Manual       ,"6,451/m*"  ,3.00L          ,2.90L  ,             79.75 ,         2.9  ,2015 ,     6451.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX                ,74.00k km  ,Petrol    ,Manual       ,"9,732/m*"  ,2.93L          ,None   ,             74.0  ,              ,2013 ,     9732.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,79.26k km  ,Petrol    ,Manual       ,"7,608/m*"  ,3.42L          ,None   ,             79.26 ,              ,2015 ,     7608.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,1.1L km    ,Petrol    ,Manual       ,"6,874/m*"  ,3.09L          ,None   ,              1.1  ,              ,2016 ,     6874.0
Hyundai Elite i20      ,MAGNA PLUS 1.2                     ,35.32k km  ,Petrol    ,Manual       ,"9,775/m*"  ,5.24L          ,5.00L  ,             35.32 ,         5.0  ,2019 ,     9775.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,59.23k km  ,Petrol    ,Manual       ,"15,386/m*" ,7.87L          ,None   ,             59.23 ,              ,2017 ,    15386.0
Hyundai Eon            ,ERA +                              ,75.90k km  ,Petrol    ,Manual       ,"5,116/m*"  ,2.30L          ,None   ,             75.9  ,              ,2015 ,     5116.0
Hyundai i10            ,SPORTZ 1.2                         ,86.66k km  ,Petrol    ,Manual       ,0.89 lakh   ,0.89L          ,None   ,             86.66 ,              ,2010 ,        0.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX OPT AT         ,70.30k km  ,Petrol    ,Auto         ,"9,964/m*"  ,3.00L          ,None   ,             70.3  ,              ,2013 ,     9964.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,82.24k km  ,Petrol    ,Manual       ,"13,685/m*" ,7.00L          ,None   ,             82.24 ,              ,2016 ,    13685.0
Hyundai Xcent          ,S (O) 1.2                          ,71.12k km  ,Petrol    ,Manual       ,"6,940/m*"  ,3.12L          ,None   ,             71.12 ,              ,2015 ,     6940.0
Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,76.23k km  ,Petrol    ,Manual       ,"5,435/m*"  ,2.78L          ,None   ,             76.23 ,              ,2016 ,     5435.0
Hyundai Eon            ,SPORTZ                             ,28.24k km  ,Petrol    ,Manual       ,"4,345/m*"  ,1.75L          ,1.65L  ,             28.24 ,         1.65 ,2014 ,     4345.0
Hyundai NEW SANTRO     ,SPORTZ CNG                         ,36.71k km  ,Petrol    ,Manual       ,"6,354/m*"  ,3.60L          ,3.25L  ,             36.71 ,         3.25 ,2019 ,     6354.0
Hyundai Creta          ,SX 1.5 PETROL                      ,66.73k km  ,Petrol    ,Manual       ,"17,131/m*" ,9.00L          ,None   ,             66.73 ,              ,2020 ,    17131.0
Hyundai Creta          ,E PLUS 1.6 PETROL                  ,46.67k km  ,Petrol    ,Manual       ,"11,632/m*" ,6.00L          ,5.95L  ,             46.67 ,         5.95 ,2017 ,    11632.0
Hyundai Xcent          ,S 1.2                              ,48.90k km  ,Petrol    ,Manual       ,"7,926/m*"  ,3.01L          ,None   ,             48.9  ,              ,2014 ,     7926.0
Hyundai Verna          ,FLUIDIC 4S 1.6 VTVT S              ,43.03k km  ,Petrol    ,Manual       ,"8,798/m*"  ,4.50L          ,None   ,             43.03 ,              ,2016 ,     8798.0
Hyundai i10            ,MAGNA 1.2                          ,28.13k km  ,Petrol    ,Manual       ,"11,728/m*" ,1.32L          ,None   ,             28.13 ,              ,2011 ,    11728.0
Hyundai Verna          ,1.6 CRDI SX                        ,72.58k km  ,Diesel    ,Manual       ,"14,115/m*" ,7.22L          ,None   ,             72.58 ,              ,2018 ,    14115.0
Hyundai Xcent          ,S 1.2                              ,1.1L km    ,Petrol    ,Manual       ,"7,847/m*"  ,2.98L          ,None   ,              1.1  ,              ,2014 ,     7847.0
Hyundai NEW SANTRO     ,MAGNA                              ,25.46k km  ,Petrol    ,Manual       ,"6,139/m*"  ,3.14L          ,None   ,             25.46 ,              ,2018 ,     6139.0
Hyundai Verna          ,FLUIDIC 1.6 EX CRDI AT             ,1.1L km    ,Diesel    ,Auto         ,"16,334/m*" ,3.47L          ,None   ,              1.1  ,              ,2013 ,    16334.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,54.87k km  ,Petrol    ,Manual       ,"9,200/m*"  ,2.77L          ,None   ,             54.87 ,              ,2013 ,     9200.0
Hyundai Xcent          ,SX 1.2                             ,36.03k km  ,Petrol    ,Manual       ,"8,030/m*"  ,3.61L          ,None   ,             36.03 ,              ,2015 ,     8030.0
Hyundai NEW I20        ,ASTA (O) 1.0 TURBO GDI DCT         ,12.78k km  ,Petrol    ,Auto         ,"15,227/m*" ,9.00L          ,8.00L  ,             12.78 ,         8.0  ,2023 ,    15227.0
Hyundai Xcent          ,S (O) 1.2                          ,75.16k km  ,Petrol    ,Manual       ,"7,496/m*"  ,3.37L          ,None   ,             75.16 ,              ,2015 ,     7496.0
Hyundai GRAND I10 NIOS ,SPORTZ AMT 1.2 KAPPA VTVT          ,18.61k km  ,Petrol    ,Auto         ,"11,359/m*" ,5.81L          ,None   ,             18.61 ,              ,2020 ,    11359.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,79.40k km  ,Petrol    ,Manual       ,"10,753/m*" ,5.50L          ,None   ,             79.4  ,              ,2016 ,    10753.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX AT             ,27.58k km  ,Petrol    ,Auto         ,"10,463/m*" ,3.15L          ,None   ,             27.58 ,              ,2013 ,    10463.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT EX                ,7.90k km   ,Petrol    ,Manual       ,"11,721/m*" ,2.49L          ,None   ,              7.9  ,              ,2012 ,    11721.0
Hyundai Verna          ,1.6 VTVT SX O                      ,58.88k km  ,Petrol    ,Manual       ,"13,685/m*" ,7.00L          ,None   ,             58.88 ,              ,2019 ,    13685.0
Hyundai i20            ,ASTA 1.2                           ,1.0L km    ,Petrol    ,Manual       ,1.39 lakh   ,1.39L          ,None   ,              1.0  ,              ,2010 ,        1.0
Hyundai Grand i10      ,ASTA AT 1.2 KAPPA VTVT             ,52.73k km  ,Petrol    ,Auto         ,"8,769/m*"  ,3.33L          ,None   ,             52.73 ,              ,2014 ,     8769.0
Hyundai Verna          ,FLUIDIC 1.6 VTVT SX OPT            ,78.28k km  ,Petrol    ,Manual       ,"9,665/m*"  ,3.67L          ,None   ,             78.28 ,              ,2014 ,     9665.0
Hyundai Xcent          ,S 1.1 CRDI                         ,61.48k km  ,Diesel    ,Manual       ,"10,894/m*" ,3.28L          ,None   ,             61.48 ,              ,2014 ,    10894.0
Hyundai AURA           ,SX 1.2 CNG                         ,18.62k km  ,Petrol    ,Manual       ,"16,522/m*" ,8.68L          ,None   ,             18.62 ,              ,2024 ,    16522.0
Hyundai Elite i20      ,MAGNA 1.2                          ,93.38k km  ,Petrol    ,Manual       ,"7,663/m*"  ,2.91L          ,None   ,             93.38 ,              ,2014 ,     7663.0
Hyundai Xcent          ,S (O) 1.2                          ,21.12k km  ,Petrol    ,Manual       ,"8,275/m*"  ,3.72L          ,None   ,             21.12 ,              ,2015 ,     8275.0
Hyundai Elite i20      ,ASTA 1.4 CRDI                      ,1.5L km    ,Diesel    ,Manual       ,"11,166/m*" ,4.24L          ,None   ,              1.5  ,              ,2015 ,    11166.0
Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,27.39k km  ,Petrol    ,Manual       ,"6,764/m*"  ,3.46L          ,None   ,             27.39 ,              ,2016 ,     6764.0
Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,12.11k km  ,Petrol    ,Manual       ,"7,007/m*"  ,3.25L          ,3.15L  ,             12.11 ,         3.15 ,2015 ,     7007.0
Hyundai NEW I20        ,ASTA (O) 1.0 TURBO GDI DCT         ,14.90k km  ,Petrol    ,Auto         ,"14,663/m*" ,7.50L          ,None   ,             14.9  ,              ,2022 ,    14663.0
Hyundai Verna          ,1.6 VTVT SX O                      ,72.48k km  ,Petrol    ,Manual       ,"11,339/m*" ,5.80L          ,None   ,             72.48 ,              ,2018 ,    11339.0
Hyundai AURA           ,S 1.2 CNG                          ,20.61k km  ,Petrol    ,Manual       ,"12,453/m*" ,6.37L          ,None   ,             20.61 ,              ,2021 ,    12453.0
Hyundai Xcent          ,S 1.1 CRDI                         ,82.71k km  ,Diesel    ,Manual       ,"9,586/m*"  ,3.64L          ,None   ,             82.71 ,              ,2015 ,     9586.0
Hyundai Verna          ,FLUIDIC 1.6 CRDI SX AT             ,78.85k km  ,Diesel    ,Auto         ,"12,954/m*" ,3.90L          ,None   ,             78.85 ,              ,2014 ,    12954.0
Hyundai Xcent          ,SX AT 1.2 (O)                      ,3.1L km    ,Petrol    ,Auto         ,"7,118/m*"  ,3.20L          ,None   ,              3.1  ,              ,2015 ,     7118.0
Hyundai Verna          ,FLUIDIC 1.6 CRDI SX                ,1.1L km    ,Diesel    ,Manual       ,"25,233/m*" ,2.84L          ,None   ,              1.1  ,              ,2012 ,    25233.0
Hyundai i20            ,ASTA 1.2                           ,68.81k km  ,Petrol    ,Manual       ,"8,400/m*"  ,3.19L          ,None   ,             68.81 ,              ,2014 ,     8400.0
Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,35.79k km  ,Petrol    ,Manual       ,"7,274/m*"  ,3.27L          ,None   ,             35.79 ,              ,2015 ,     7274.0
Hyundai Grand i10      ,ASTA AT 1.2 KAPPA VTVT             ,41.05k km  ,Petrol    ,Auto         ,"8,954/m*"  ,3.40L          ,None   ,             41.05 ,              ,2014 ,     8954.0
Hyundai VENUE          ,S 1.2                              ,17.45k km  ,Petrol    ,Manual       ,"14,663/m*" ,7.50L          ,None   ,             17.45 ,              ,2023 ,    14663.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,67.43k km  ,Petrol    ,Manual       ,"8,739/m*"  ,4.47L          ,None   ,             67.43 ,              ,2017 ,     8739.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,75.61k km  ,Petrol    ,Manual       ,"13,196/m*" ,6.75L          ,None   ,             75.61 ,              ,2018 ,    13196.0
Hyundai VENUE          ,S 1.2                              ,1.51k km   ,Petrol    ,Manual       ,"17,131/m*" ,9.00L          ,None   ,              1.51 ,              ,2024 ,    17131.0
Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,49.50k km  ,Petrol    ,Auto         ,"14,174/m*" ,7.25L          ,None   ,             49.5  ,              ,2018 ,    14174.0
Hyundai Elite i20      ,ASTA 1.4 CRDI                      ,74.45k km  ,Diesel    ,Manual       ,"11,929/m*" ,4.53L          ,None   ,             74.45 ,              ,2015 ,    11929.0
Hyundai i20 Active     ,1.2 S                              ,39.67k km  ,Petrol    ,Manual       ,"12,079/m*" ,5.43L          ,None   ,             39.67 ,              ,2015 ,    12079.0
Hyundai Xcent          ,E+                                 ,56.61k km  ,Petrol    ,Manual       ,"7,801/m*"  ,3.99L          ,None   ,             56.61 ,              ,2018 ,     7801.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,53.35k km  ,Petrol    ,Manual       ,"8,675/m*"  ,3.90L          ,None   ,             53.35 ,              ,2015 ,     8675.0
Hyundai i20 Active     ,1.2 S                              ,73.70k km  ,Petrol    ,Manual       ,"8,309/m*"  ,4.25L          ,None   ,             73.7  ,              ,2016 ,     8309.0
Hyundai Xcent          ,SX 1.2                             ,1.1L km    ,Petrol    ,Manual       ,"6,896/m*"  ,3.50L          ,3.10L  ,              1.1  ,         3.1  ,2016 ,     6896.0
Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,94.62k km  ,Petrol    ,Auto         ,"12,708/m*" ,7.00L          ,6.50L  ,             94.62 ,         6.5  ,2017 ,    12708.0
Hyundai Elite i20      ,ASTA 1.2 DUAL TONE                 ,58.20k km  ,Petrol    ,Manual       ,"9,091/m*"  ,4.65L          ,None   ,             58.2  ,              ,2017 ,     9091.0
Hyundai NEW I20        ,SPORTZ 1.2 AT                      ,18.00k km  ,Petrol    ,Auto         ,"12,962/m*" ,6.63L          ,None   ,             18.0  ,              ,2021 ,    12962.0
Hyundai Creta          ,E 1.5 PETROL                       ,5.40k km   ,Petrol    ,Manual       ,"22,403/m*" ,11.77L         ,None   ,              5.4  ,              ,2024 ,    22403.0
Hyundai AURA           ,S 1.2 CNG                          ,73.24k km  ,Petrol    ,Manual       ,"11,261/m*" ,5.76L          ,None   ,             73.24 ,              ,2021 ,    11261.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,11.01k km  ,Petrol    ,Manual       ,"7,058/m*"  ,3.61L          ,None   ,             11.01 ,              ,2016 ,     7058.0
Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,1.5L km    ,Diesel    ,Auto         ,"17,894/m*" ,8.23L          ,None   ,              1.5  ,              ,2016 ,    17894.0
Hyundai Creta          ,SX PLUS AT 1.6 PETROL              ,42.92k km  ,Petrol    ,Auto         ,"16,731/m*" ,8.79L          ,None   ,             42.92 ,              ,2016 ,    16731.0
Hyundai Grand i10      ,ASTA (O) AT 1.2 KAPPA VTVT         ,1.0L km    ,Petrol    ,Auto         ,"7,786/m*"  ,3.50L          ,None   ,              1.0  ,              ,2016 ,     7786.0
Hyundai Elite i20      ,SPORTZ PLUS 1.2                    ,18.98k km  ,Petrol    ,Manual       ,"11,241/m*" ,5.75L          ,None   ,             18.98 ,              ,2019 ,    11241.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,31.76k km  ,Petrol    ,Manual       ,"10,753/m*" ,5.91L          ,5.50L  ,             31.76 ,         5.5  ,2022 ,    10753.0
Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,56.00k km  ,Petrol    ,Manual       ,"5,924/m*"  ,3.03L          ,None   ,             56.0  ,              ,2016 ,     5924.0
Hyundai Elite i20      ,MAGNA PLUS 1.2                     ,23.44k km  ,Petrol    ,Manual       ,"9,267/m*"  ,4.74L          ,None   ,             23.44 ,              ,2019 ,     9267.0
Hyundai NEW SANTRO     ,SPORTZ CNG                         ,1.1L km    ,Petrol    ,Manual       ,"8,008/m*"  ,3.60L          ,None   ,              1.1  ,              ,2019 ,     8008.0
Hyundai Elite i20      ,SPORTZ 1.2                         ,1.0L km    ,Petrol    ,Manual       ,"8,876/m*"  ,3.99L          ,None   ,              1.0  ,              ,2015 ,     8876.0
Hyundai Grand i10      ,ASTA AT 1.2 KAPPA VTVT             ,57.17k km  ,Petrol    ,Auto         ,"6,686/m*"  ,3.42L          ,None   ,             57.17 ,              ,2016 ,     6686.0
Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,21.09k km  ,Petrol    ,Manual       ,"10,753/m*" ,5.85L          ,5.50L  ,             21.09 ,         5.5  ,2022 ,    10753.0
Hyundai Elite i20      ,MAGNA 1.2                          ,1.2L km    ,Petrol    ,Manual       ,"7,830/m*"  ,3.52L          ,None   ,              1.2  ,              ,2015 ,     7830.0
Hyundai NEW SANTRO     ,SPORTZ EXECUTIVE MT CNG            ,44.49k km  ,Petrol    ,Manual       ,"9,286/m*"  ,4.80L          ,4.75L  ,             44.49 ,         4.75 ,2021 ,     9286.0
