Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai VENUE          ,S 1.0 TURBO DCT                    ,46.45k km  ,Petrol    ,Auto         ,"13,685/m*" ,9.86L          ,7.00L  ,             46.45 ,         7.0  ,2019 ,    13685.0
Hyundai Xcent          ,S 1.2                              ,71.70k km  ,Petrol    ,Manual       ,"6,857/m*"  ,3.20L          ,3.08L  ,             71.7  ,         3.08 ,2015 ,     6857.0
Hyundai VENUE          ,SX 1.0 TURBO IMT                   ,63.77k km  ,Petrol    ,Manual       ,"13,426/m*" ,7.50L          ,6.87L  ,             63.77 ,         6.87 ,2020 ,    13426.0
Hyundai Verna          ,FLUIDIC 1.6 CRDI SX 4S             ,62.61k km  ,Diesel    ,Manual       ,"13,429/m*" ,7.02L          ,5.10L  ,             62.61 ,         5.1  ,2015 ,    13429.0
Hyundai Eon            ,MAGNA +                            ,47.06k km  ,Petrol    ,Manual       ,"6,477/m*"  ,2.57L          ,1.95L  ,             47.06 ,         1.95 ,2013 ,     6477.0
Hyundai Xcent          ,E+                                 ,1.0L km    ,Petrol    ,Manual       ,"6,731/m*"  ,4.39L          ,3.03L  ,              1.0  ,         3.03 ,2017 ,     6731.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,49.69k km  ,Petrol    ,Manual       ,"11,665/m*" ,6.65L          ,5.97L  ,             49.69 ,         5.97 ,2017 ,    11665.0
Hyundai Elite i20      ,ASTA 1.2                           ,54.37k km  ,Petrol    ,Manual       ,"9,780/m*"  ,5.23L          ,5.00L  ,             54.37 ,         5.0  ,2018 ,     9780.0
Hyundai Elite i20      ,MAGNA 1.2                          ,99.66k km  ,Petrol    ,Manual       ,"7,007/m*"  ,3.55L          ,3.15L  ,             99.66 ,         3.15 ,2015 ,     7007.0
Hyundai Creta          ,SX 1.6 DIESEL                      ,98.67k km  ,Diesel    ,Manual       ,"13,391/m*" ,7.05L          ,6.02L  ,             98.67 ,         6.02 ,2016 ,    13391.0
