Car_Name                    ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI              ,Price_original ,Price
2013 Hyundai Eon            ,MAGNA +                            ,47.06k km  ,Petrol    ,Manual       ,"EMI ₹6,477/m*"  ,₹2.57L         ,₹1.95 lakh
2017 Hyundai Xcent          ,E+                                 ,1.0L km    ,Petrol    ,Manual       ,"EMI ₹6,731/m*"  ,₹4.39L         ,₹3.03 lakh
2017 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,49.69k km  ,Petrol    ,Manual       ,"EMI ₹11,665/m*" ,₹6.65L         ,₹5.97 lakh
2018 Hyundai Elite i20      ,ASTA 1.2                           ,54.37k km  ,Petrol    ,Manual       ,"EMI ₹9,780/m*"  ,₹5.23L         ,₹5.00 lakh
2015 Hyundai Elite i20      ,MAGNA 1.2                          ,99.66k km  ,Petrol    ,Manual       ,"EMI ₹7,007/m*"  ,₹3.55L         ,₹3.15 lakh
2016 Hyundai Creta          ,SX 1.6 DIESEL                      ,98.67k km  ,Diesel    ,Manual       ,"EMI ₹13,391/m*" ,₹7.05L         ,₹6.02 lakh
2018 Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,69.47k km  ,Petrol    ,Auto         ,"EMI ₹13,087/m*" ,₹6.94L         ,₹6.69 lakh
2021 Hyundai NEW SANTRO     ,ASTA MT                            ,39.33k km  ,Petrol    ,Manual       ,"EMI ₹7,440/m*"  ,₹4.66L         ,₹3.81 lakh
2015 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,87.77k km  ,Petrol    ,Manual       ,"EMI ₹12,568/m*" ,₹5.82L         ,₹5.65 lakh
2021 Hyundai NEW I20        ,ASTA (O) 1.0 TURBO GDI DCT         ,31.68k km  ,Petrol    ,Auto         ,"EMI ₹14,282/m*" ,₹8.43L         ,₹7.31 lakh
2019 Hyundai Creta          ,E PLUS 1.6 PETROL                  ,42.44k km  ,Petrol    ,Manual       ,"EMI ₹13,006/m*" ,₹7.52L         ,₹6.65 lakh
2017 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,43.58k km  ,Petrol    ,Manual       ,"EMI ₹12,863/m*" ,₹6.83L         ,₹6.58 lakh
2020 Hyundai VENUE          ,SX 1.0 TURBO IMT                   ,64.85k km  ,Petrol    ,Manual       ,"EMI ₹12,899/m*" ,₹7.07L         ,₹6.60 lakh
2022 Hyundai NEW I20        ,ASTA (O) 1.2 AT                    ,30.04k km  ,Petrol    ,Auto         ,"EMI ₹15,513/m*" ,₹9.28L         ,₹8.15 lakh
2020 Hyundai VENUE          ,SX 1.0 TURBO IMT                   ,72.27k km  ,Petrol    ,Manual       ,"EMI ₹12,166/m*" ,₹7.38L         ,₹6.22 lakh
2013 Hyundai i20            ,SPORTZ 1.2                         ,30.92k km  ,Petrol    ,Manual       ,"EMI ₹9,134/m*"  ,₹2.75 lakh     ,
2014 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,33.52k km  ,Petrol    ,Manual       ,"EMI ₹7,242/m*"  ,₹2.75 lakh     ,
2016 Hyundai Xcent          ,S 1.2                              ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹7,563/m*"  ,₹3.87L         ,₹3.40 lakh
2016 Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,81.04k km  ,Petrol    ,Manual       ,"EMI ₹10,068/m*" ,₹5.92L         ,₹5.15 lakh
2022 Hyundai VENUE          ,SX 1.0 (O) TURBO IMT               ,22.47k km  ,Petrol    ,Manual       ,"EMI ₹16,274/m*" ,₹9.16L         ,₹8.55 lakh
